,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
404,454.0,1.0,1.0,712.0,475.0,0.007,6.0,600.0,2.2101167583597783,71,21,134
27,70.0,1.0,1.0,142.0,475.0,0.007,6.0,600.0,2.6947430770269256,71,28,134
402,482.0,1.0,1.0,712.0,475.0,0.03,1.0,600.0,2.2092698368094466,99,19,135
814,866.0,1.0,1.0,1410.0,475.0,0.03,1.0,600.0,2.1823779432957835,99,47,135
194,290.0,1.0,1.0,356.0,475.0,0.03,1.0,600.0,2.263805838780661,99,3,135
19,98.0,1.0,1.0,142.0,475.0,0.03,1.0,600.0,2.6899550030718435,99,20,135
621,674.0,1.0,1.0,1068.0,475.0,0.03,1.0,600.0,2.2117148277336223,99,46,135
778,861.0,1.0,1.0,1410.0,475.0,0.01,6.0,400.0,2.169749167418828,94,11,140
222,285.0,1.0,1.0,356.0,475.0,0.01,6.0,400.0,2.3014361235538834,94,31,140
18,93.0,1.0,1.0,142.0,475.0,0.01,6.0,400.0,2.688882244047626,94,19,140
625,669.0,1.0,1.0,1068.0,475.0,0.01,6.0,400.0,2.2157936262622484,94,50,140
412,477.0,1.0,1.0,712.0,475.0,0.01,6.0,400.0,2.214960290692788,94,29,140
218,239.0,1.0,1.0,356.0,475.0,0.005,6.0,800.0,2.2978690652727027,48,27,141
403,431.0,1.0,1.0,712.0,475.0,0.005,6.0,800.0,2.209846098973828,48,20,141
612,623.0,1.0,1.0,1068.0,475.0,0.005,6.0,800.0,2.20811217463243,48,37,141
802,815.0,1.0,1.0,1410.0,475.0,0.005,6.0,800.0,2.176805984681806,48,35,141
21,47.0,1.0,1.0,142.0,475.0,0.005,6.0,800.0,2.6919587152996702,48,22,141
396,443.0,1.0,1.0,712.0,475.0,0.007,3.0,800.0,2.205766042675587,60,13,146
786,827.0,1.0,1.0,1410.0,475.0,0.007,3.0,800.0,2.173328138026931,60,19,146
605,635.0,1.0,1.0,1068.0,475.0,0.007,3.0,800.0,2.206069060750857,60,30,146
57,59.0,1.0,1.0,142.0,475.0,0.007,3.0,800.0,2.71682546996241,60,58,146
217,251.0,1.0,1.0,356.0,475.0,0.007,3.0,800.0,2.2970169360144728,60,26,146
595,744.0,1.0,1.0,1068.0,475.0,0.1,1.0,200.0,2.2024780117259306,169,20,155
411,552.0,1.0,1.0,712.0,475.0,0.1,1.0,200.0,2.2147875104726813,169,28,155
230,360.0,1.0,1.0,356.0,475.0,0.1,1.0,200.0,2.3074833818796505,169,39,155
14,168.0,1.0,1.0,142.0,475.0,0.1,1.0,200.0,2.6831260356084927,169,15,155
820,936.0,1.0,1.0,1410.0,475.0,0.1,1.0,200.0,2.18733435007257,169,53,155
249,340.0,1.0,1.0,356.0,475.0,0.07,2.0,200.0,2.329152971843171,149,58,159
