,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
2514,637,637.0,1.0,1.0,953.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,3.695954607766606,478,115,376
2472,497,497.0,1.0,1.0,953.0,424.0,0.07,1.0,2.0,600.0,0.993,1.0,3.6855970962550457,658,73,378
1618,337,337.0,1.0,1.0,635.0,424.0,0.07,1.0,2.0,600.0,0.993,1.0,3.7021729699778967,658,19,378
275,17,17.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,600.0,0.993,1.0,4.209204084308318,658,276,378
809,177,177.0,1.0,1.0,317.0,424.0,0.07,1.0,2.0,600.0,0.993,1.0,3.8009700040956087,658,10,378
2412,518,518.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,600.0,0.995,1.0,3.6566455238412594,679,13,383
1630,358,358.0,1.0,1.0,635.0,424.0,0.07,1.0,4.0,600.0,0.995,1.0,3.7090034813573256,679,31,383
912,198,198.0,1.0,1.0,317.0,424.0,0.07,1.0,4.0,600.0,0.995,1.0,3.8655544201310383,679,113,383
225,38,38.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,600.0,0.995,1.0,4.164981788497829,679,226,383
816,186,186.0,1.0,1.0,317.0,424.0,0.07,1.0,3.0,600.0,0.99,1.0,3.81348415594943,667,17,393
1609,346,346.0,1.0,1.0,635.0,424.0,0.07,1.0,3.0,600.0,0.99,1.0,3.6934723425390175,667,10,393
2422,506,506.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,600.0,0.99,1.0,3.665867765162869,667,23,393
342,26,26.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,600.0,0.99,1.0,4.267004468569301,667,343,393
1613,473,473.0,1.0,1.0,635.0,424.0,0.03,4.0,4.0,400.0,0.995,1.0,3.697701241384188,634,14,397
244,21,21.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,400.0,0.99,1.0,4.183480576793383,662,245,397
1052,313,313.0,1.0,1.0,317.0,424.0,0.03,4.0,4.0,400.0,0.995,1.0,3.903919787228488,634,253,397
2439,633,633.0,1.0,1.0,953.0,424.0,0.03,4.0,4.0,400.0,0.995,1.0,3.674006291686492,634,40,397
89,153,153.0,1.0,1.0,127.0,424.0,0.03,4.0,4.0,400.0,0.995,1.0,4.081624012039365,634,90,397
1635,341,341.0,1.0,1.0,635.0,424.0,0.07,1.0,3.0,400.0,0.99,1.0,3.713782068861978,662,36,397
2494,501,501.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,400.0,0.99,1.0,3.6913013091729914,662,95,397
820,181,181.0,1.0,1.0,317.0,424.0,0.07,1.0,3.0,400.0,0.99,1.0,3.81519627787452,662,21,397
1814,344,344.0,1.0,1.0,635.0,424.0,0.07,1.0,3.0,400.0,0.997,1.0,3.7551090895167913,665,215,401
2558,504,504.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,400.0,0.997,1.0,3.707268221720986,665,159,401
10,24,24.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,400.0,0.997,1.0,4.001556214713771,665,11,401
815,184,184.0,1.0,1.0,317.0,424.0,0.07,1.0,3.0,400.0,0.997,1.0,3.811926415300015,665,16,401
2598,627,627.0,1.0,1.0,953.0,424.0,0.01,4.0,3.0,600.0,0.993,1.0,3.717517924644684,468,199,403
41,147,147.0,1.0,1.0,127.0,424.0,0.01,4.0,3.0,600.0,0.993,1.0,4.049208052093437,468,42,403
1658,467,467.0,1.0,1.0,635.0,424.0,0.01,4.0,3.0,600.0,0.993,1.0,3.7222952899470783,468,59,403
902,307,307.0,1.0,1.0,317.0,424.0,0.01,4.0,3.0,600.0,0.993,1.0,3.860723411215792,468,103,403
2492,498,498.0,1.0,1.0,953.0,424.0,0.07,1.0,2.0,600.0,0.995,1.0,3.6898637919068182,659,93,418
806,178,178.0,1.0,1.0,317.0,424.0,0.07,1.0,2.0,600.0,0.995,1.0,3.799683413009688,659,7,418
280,18,18.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,600.0,0.995,1.0,4.212526086905648,659,281,418
1636,338,338.0,1.0,1.0,635.0,424.0,0.07,1.0,2.0,600.0,0.995,1.0,3.7140638370927705,659,37,418
286,68,68.0,1.0,1.0,127.0,424.0,0.03,2.0,3.0,600.0,0.995,1.0,4.22300440144736,549,287,426
843,228,228.0,1.0,1.0,317.0,424.0,0.03,2.0,3.0,600.0,0.995,1.0,3.833514413807807,549,44,426
