,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
73,59.0,1.0,1.0,127.0,424.0,0.007,3.0,800.0,4.420843257892994,60,74,234
443,443.0,1.0,1.0,635.0,424.0,0.007,3.0,800.0,3.7990361409882447,60,60,234
457,441.0,1.0,1.0,635.0,424.0,0.007,3.0,400.0,3.808385006632207,58,74,237
16,57.0,1.0,1.0,127.0,424.0,0.007,3.0,400.0,4.302981778033067,58,17,237
687,633.0,1.0,1.0,953.0,424.0,0.007,3.0,400.0,3.8093071755062025,58,112,237
225,249.0,1.0,1.0,317.0,424.0,0.007,3.0,400.0,3.913401862299291,58,34,237
439,466.0,1.0,1.0,635.0,424.0,0.01,3.0,600.0,3.797379224344476,83,56,238
81,82.0,1.0,1.0,127.0,424.0,0.01,3.0,600.0,4.433236077300154,83,82,238
215,274.0,1.0,1.0,317.0,424.0,0.01,3.0,600.0,3.908049321543977,83,24,238
651,658.0,1.0,1.0,953.0,424.0,0.01,3.0,600.0,3.7620573340961,83,76,238
259,328.0,1.0,1.0,317.0,424.0,0.05,5.0,200.0,3.935220678768192,137,68,242
624,712.0,1.0,1.0,953.0,424.0,0.05,5.0,200.0,3.7411846384776353,137,49,242
403,520.0,1.0,1.0,635.0,424.0,0.05,5.0,200.0,3.766712056165259,137,20,242
104,136.0,1.0,1.0,127.0,424.0,0.05,5.0,200.0,4.518517426699211,137,105,242
650,680.0,1.0,1.0,953.0,424.0,0.03,3.0,200.0,3.7620068928102577,105,75,250
214,296.0,1.0,1.0,317.0,424.0,0.03,3.0,200.0,3.9058188938809817,105,23,250
80,104.0,1.0,1.0,127.0,424.0,0.03,3.0,200.0,4.423902089335865,105,81,250
454,488.0,1.0,1.0,635.0,424.0,0.03,3.0,200.0,3.806967821682792,105,71,250
257,317.0,1.0,1.0,317.0,424.0,0.05,2.0,400.0,3.9337871323336655,126,66,253
610,701.0,1.0,1.0,953.0,424.0,0.05,2.0,400.0,3.735925711563386,126,35,253
123,125.0,1.0,1.0,127.0,424.0,0.05,2.0,400.0,4.654952640355945,126,124,253
411,509.0,1.0,1.0,635.0,424.0,0.05,2.0,400.0,3.774305700013274,126,28,253
428,516.0,1.0,1.0,635.0,424.0,0.05,4.0,200.0,3.788309248764462,133,45,256
436,467.0,1.0,1.0,635.0,424.0,0.01,3.0,800.0,3.796700846555808,84,53,256
105,132.0,1.0,1.0,127.0,424.0,0.05,4.0,200.0,4.519000696218388,133,106,256
