,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
820,181,181.0,1.0,1.0,317.0,424.0,0.07,1.0,3.0,400.0,0.99,1.0,3.81519627787452,662,21,492
1635,341,341.0,1.0,1.0,635.0,424.0,0.07,1.0,3.0,400.0,0.99,1.0,3.713782068861978,662,36,492
3294,21,21.0,1.0,1.0,1258.0,424.0,0.07,1.0,3.0,400.0,0.99,1.0,3.676263802563705,662,95,492
244,21,21.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,400.0,0.99,1.0,4.183480576793383,662,245,492
3397,34,34.0,1.0,1.0,1258.0,424.0,0.07,1.0,4.0,400.0,0.997,1.0,3.698668673837204,675,198,497
2471,514,514.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,400.0,0.997,1.0,3.6853614124684335,675,72,497
75,34,34.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,400.0,0.997,1.0,4.07506250642991,675,76,497
854,194,194.0,1.0,1.0,317.0,424.0,0.07,1.0,4.0,400.0,0.997,1.0,3.841409768506345,675,55,497
1695,354,354.0,1.0,1.0,635.0,424.0,0.07,1.0,4.0,400.0,0.997,1.0,3.732289736620881,675,96,497
3319,17,17.0,1.0,1.0,1258.0,424.0,0.07,1.0,2.0,600.0,0.993,1.0,3.682526120529841,658,120,498
809,177,177.0,1.0,1.0,317.0,424.0,0.07,1.0,2.0,600.0,0.993,1.0,3.8009700040956087,658,10,498
275,17,17.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,600.0,0.993,1.0,4.209204084308318,658,276,498
2472,497,497.0,1.0,1.0,953.0,424.0,0.07,1.0,2.0,600.0,0.993,1.0,3.6855970962550457,658,73,498
1618,337,337.0,1.0,1.0,635.0,424.0,0.07,1.0,2.0,600.0,0.993,1.0,3.7021729699778967,658,19,498
802,183,183.0,1.0,1.0,317.0,424.0,0.07,1.0,3.0,400.0,0.995,1.0,3.7870111522412846,664,3,499
23,23,23.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,400.0,0.995,1.0,4.022641269951638,664,24,499
1795,343,343.0,1.0,1.0,635.0,424.0,0.07,1.0,3.0,400.0,0.995,1.0,3.750542300746998,664,196,499
3349,23,23.0,1.0,1.0,1258.0,424.0,0.07,1.0,3.0,400.0,0.995,1.0,3.688713144527912,664,150,499
2525,503,503.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,400.0,0.995,1.0,3.7004486585166,664,126,499
12,148,148.0,1.0,1.0,127.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,4.003030870203645,469,13,507
844,308,308.0,1.0,1.0,317.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,3.834933138633458,469,45,507
1645,468,468.0,1.0,1.0,635.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,3.71972061671715,469,46,507
3404,148,148.0,1.0,1.0,1258.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,3.700008175665452,469,205,507
2597,628,628.0,1.0,1.0,953.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,3.717016051697369,469,198,507
861,227,227.0,1.0,1.0,317.0,424.0,0.03,2.0,3.0,600.0,0.993,1.0,3.847531526633831,548,62,527
1615,387,387.0,1.0,1.0,635.0,424.0,0.03,2.0,3.0,600.0,0.993,1.0,3.6994398928161503,548,16,527
3237,67,67.0,1.0,1.0,1258.0,424.0,0.03,2.0,3.0,600.0,0.993,1.0,3.660802621650752,548,38,527
2511,547,547.0,1.0,1.0,953.0,424.0,0.03,2.0,3.0,600.0,0.993,1.0,3.69493736104514,548,112,527
298,67,67.0,1.0,1.0,127.0,424.0,0.03,2.0,3.0,600.0,0.993,1.0,4.231315921512564,548,299,527
3296,25,25.0,1.0,1.0,1258.0,424.0,0.07,1.0,3.0,600.0,0.97,1.0,3.6772623548556966,666,97,537
2480,505,505.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,600.0,0.97,1.0,3.68779277059953,666,81,537
1632,345,345.0,1.0,1.0,635.0,424.0,0.07,1.0,3.0,600.0,0.97,1.0,3.7112131686909935,666,33,537
