,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
204,271.0,1.0,1.0,317.0,424.0,0.01,2.0,800.0,1.3546841784776478,80,13,218
58,79.0,1.0,1.0,127.0,424.0,0.01,2.0,800.0,1.842184229498865,80,59,218
595,655.0,1.0,1.0,953.0,424.0,0.01,2.0,800.0,1.2546156890821656,80,20,218
785,896.0,1.0,1.0,1258.0,424.0,0.05,3.0,200.0,1.2239921017236928,129,18,220
87,128.0,1.0,1.0,127.0,424.0,0.05,3.0,200.0,1.8833656095022724,129,88,220
259,320.0,1.0,1.0,317.0,424.0,0.05,3.0,200.0,1.3866504146977627,129,68,220
822,872.0,1.0,1.0,1258.0,424.0,0.03,3.0,200.0,1.2348018334494983,105,55,220
227,296.0,1.0,1.0,317.0,424.0,0.03,3.0,200.0,1.3678697485168527,105,36,220
613,680.0,1.0,1.0,953.0,424.0,0.03,3.0,200.0,1.258182859530979,105,38,220
398,512.0,1.0,1.0,635.0,424.0,0.05,3.0,200.0,1.2892149735005467,129,15,220
72,104.0,1.0,1.0,127.0,424.0,0.03,3.0,200.0,1.8517336310612005,105,73,220
401,488.0,1.0,1.0,635.0,424.0,0.03,3.0,200.0,1.2908415882137902,105,18,220
606,704.0,1.0,1.0,953.0,424.0,0.05,3.0,200.0,1.256765613830782,129,31,220
240,263.0,1.0,1.0,317.0,424.0,0.007,6.0,800.0,1.372829925394425,72,49,228
814,839.0,1.0,1.0,1258.0,424.0,0.007,6.0,800.0,1.233536957239752,72,47,228
63,71.0,1.0,1.0,127.0,424.0,0.007,6.0,800.0,1.8443532823447988,72,64,228
607,647.0,1.0,1.0,953.0,424.0,0.007,6.0,800.0,1.257068172437627,72,32,228
419,455.0,1.0,1.0,635.0,424.0,0.007,6.0,800.0,1.2951860719405066,72,36,228
618,659.0,1.0,1.0,953.0,424.0,0.01,3.0,800.0,1.2593501849133546,84,43,229
791,851.0,1.0,1.0,1258.0,424.0,0.01,3.0,800.0,1.2279890645412648,84,24,229
78,83.0,1.0,1.0,127.0,424.0,0.01,3.0,800.0,1.866016384802532,84,79,229
402,467.0,1.0,1.0,635.0,424.0,0.01,3.0,800.0,1.2909010144124338,84,19,229
255,275.0,1.0,1.0,317.0,424.0,0.01,3.0,800.0,1.3827132328588527,84,64,229
208,293.0,1.0,1.0,317.0,424.0,0.03,2.0,400.0,1.3571735788376826,102,17,230
828,869.0,1.0,1.0,1258.0,424.0,0.03,2.0,400.0,1.2361962136660238,102,61,230
439,485.0,1.0,1.0,635.0,424.0,0.03,2.0,400.0,1.30077619410589,102,56,230
80,101.0,1.0,1.0,127.0,424.0,0.03,2.0,400.0,1.8728460588696336,102,81,230
590,677.0,1.0,1.0,953.0,424.0,0.03,2.0,400.0,1.2533284252493937,102,15,230
