,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
254,324.0,1.0,1.0,317.0,424.0,0.05,4.0,200.0,3.929410549818333,133,63,277
617,708.0,1.0,1.0,953.0,424.0,0.05,4.0,200.0,3.738274635259201,133,42,277
428,516.0,1.0,1.0,635.0,424.0,0.05,4.0,200.0,3.787368370772405,133,45,277
125,172.0,1.0,1.0,127.0,424.0,0.1,2.0,200.0,4.6850552249011495,173,126,279
780,940.0,1.0,1.0,1258.0,424.0,0.1,2.0,200.0,3.705651440274252,173,13,279
236,364.0,1.0,1.0,317.0,424.0,0.1,2.0,200.0,3.917210471701522,173,45,279
637,748.0,1.0,1.0,953.0,424.0,0.1,2.0,200.0,3.751749790982089,173,62,279
416,556.0,1.0,1.0,635.0,424.0,0.1,2.0,200.0,3.7780134269846113,173,33,279
422,479.0,1.0,1.0,635.0,424.0,0.01,6.0,800.0,3.780724850627015,96,39,280
600,671.0,1.0,1.0,953.0,424.0,0.01,6.0,800.0,3.732378915100671,96,25,280
91,95.0,1.0,1.0,127.0,424.0,0.01,6.0,800.0,4.467292415246058,96,92,280
262,287.0,1.0,1.0,317.0,424.0,0.01,6.0,800.0,3.94037055181659,96,71,280
820,863.0,1.0,1.0,1258.0,424.0,0.01,6.0,800.0,3.738185004836972,96,53,280
420,475.0,1.0,1.0,635.0,424.0,0.01,5.0,800.0,3.7798375286106687,92,37,283
226,283.0,1.0,1.0,317.0,424.0,0.01,5.0,800.0,3.913354687771907,92,35,283
604,667.0,1.0,1.0,953.0,424.0,0.01,5.0,800.0,3.7332940700729744,92,29,283
92,91.0,1.0,1.0,127.0,424.0,0.01,5.0,800.0,4.467576488640662,92,93,283
856,859.0,1.0,1.0,1258.0,424.0,0.01,5.0,800.0,3.759723505917598,92,89,283
465,512.0,1.0,1.0,635.0,424.0,0.05,3.0,200.0,3.8148203565798826,129,82,293
672,595.0,1.0,1.0,953.0,424.0,0.003,5.0,800.0,3.7860459236439272,20,97,293
104,128.0,1.0,1.0,127.0,424.0,0.05,3.0,200.0,4.516992212033403,129,105,293
14,19.0,1.0,1.0,127.0,424.0,0.003,5.0,800.0,4.278557115099407,20,15,293
793,896.0,1.0,1.0,1258.0,424.0,0.05,3.0,200.0,3.715762808593376,129,26,293
587,704.0,1.0,1.0,953.0,424.0,0.05,3.0,200.0,3.724727269093004,129,12,293
233,211.0,1.0,1.0,317.0,424.0,0.003,5.0,800.0,3.914589239644305,20,42,293
426,403.0,1.0,1.0,635.0,424.0,0.003,5.0,800.0,3.785971583230528,20,43,293
863,787.0,1.0,1.0,1258.0,424.0,0.003,5.0,800.0,3.768040033743111,20,96,293
259,320.0,1.0,1.0,317.0,424.0,0.05,3.0,200.0,3.935460295621116,129,68,293
844,890.0,1.0,1.0,1258.0,424.0,0.05,1.0,600.0,3.7528726506662617,123,77,295
206,314.0,1.0,1.0,317.0,424.0,0.05,1.0,600.0,3.90254311656543,123,15,295
423,506.0,1.0,1.0,635.0,424.0,0.05,1.0,600.0,3.78253128276926,123,40,295
639,698.0,1.0,1.0,953.0,424.0,0.05,1.0,600.0,3.752541458892508,123,64,295
98,122.0,1.0,1.0,127.0,424.0,0.05,1.0,600.0,4.495333134676028,123,99,295
93,83.0,1.0,1.0,127.0,424.0,0.01,3.0,800.0,4.467729492630693,84,94,296
634,659.0,1.0,1.0,953.0,424.0,0.01,3.0,800.0,3.749747407659699,84,59,296
437,467.0,1.0,1.0,635.0,424.0,0.01,3.0,800.0,3.796806785053244,84,54,296
241,275.0,1.0,1.0,317.0,424.0,0.01,3.0,800.0,3.918700224480584,84,50,296
806,851.0,1.0,1.0,1258.0,424.0,0.01,3.0,800.0,3.727903284193703,84,39,296
117,102.0,1.0,1.0,127.0,424.0,0.03,2.0,600.0,4.625457373037501,103,118,298
245,294.0,1.0,1.0,317.0,424.0,0.03,2.0,600.0,3.920656989851144,103,54,298
797,870.0,1.0,1.0,1258.0,424.0,0.03,2.0,600.0,3.71886498276202,103,30,298
432,486.0,1.0,1.0,635.0,424.0,0.03,2.0,600.0,3.7937228441597903,103,49,298
622,678.0,1.0,1.0,953.0,424.0,0.03,2.0,600.0,3.740782610947434,103,47,298
667,591.0,1.0,1.0,953.0,424.0,0.003,4.0,800.0,3.782803084182152,16,92,301
427,399.0,1.0,1.0,635.0,424.0,0.003,4.0,800.0,3.786555502614316,16,44,301
235,207.0,1.0,1.0,317.0,424.0,0.003,4.0,800.0,3.916137213407596,16,44,301
12,15.0,1.0,1.0,127.0,424.0,0.003,4.0,800.0,4.2778701321059325,16,13,301
875,783.0,1.0,1.0,1258.0,424.0,0.003,4.0,800.0,3.793079902259695,16,108,301
114,105.0,1.0,1.0,127.0,424.0,0.03,3.0,400.0,4.566121336696426,106,115,303
456,489.0,1.0,1.0,635.0,424.0,0.03,3.0,400.0,3.807906108155091,106,73,303
244,297.0,1.0,1.0,317.0,424.0,0.03,3.0,400.0,3.9201546394240023,106,53,303
801,873.0,1.0,1.0,1258.0,424.0,0.03,3.0,400.0,3.723004024930827,106,34,303
603,681.0,1.0,1.0,953.0,424.0,0.03,3.0,400.0,3.732784342810681,106,28,303
850,913.0,1.0,1.0,1258.0,424.0,0.07,1.0,400.0,3.757865756088744,146,83,310
431,529.0,1.0,1.0,635.0,424.0,0.07,1.0,400.0,3.7901994669190673,146,48,310
624,712.0,1.0,1.0,953.0,424.0,0.05,5.0,200.0,3.7411078291175786,137,49,310
643,721.0,1.0,1.0,953.0,424.0,0.07,1.0,400.0,3.7566628958652175,146,68,310
403,520.0,1.0,1.0,635.0,424.0,0.05,5.0,200.0,3.7665249812658,137,20,310
105,136.0,1.0,1.0,127.0,424.0,0.05,5.0,200.0,4.5196492631811775,137,106,310
96,145.0,1.0,1.0,127.0,424.0,0.07,1.0,400.0,4.483738844785238,146,97,310
205,337.0,1.0,1.0,317.0,424.0,0.07,1.0,400.0,3.9015938132405057,146,14,310
833,904.0,1.0,1.0,1258.0,424.0,0.05,5.0,200.0,3.747086937140984,137,66,310
260,328.0,1.0,1.0,317.0,424.0,0.05,5.0,200.0,3.935480516304864,137,69,310
783,878.0,1.0,1.0,1258.0,424.0,0.03,4.0,600.0,3.707778537536878,111,16,311
598,686.0,1.0,1.0,953.0,424.0,0.03,4.0,600.0,3.731515979992776,111,23,311
282,302.0,1.0,1.0,317.0,424.0,0.03,4.0,600.0,3.9531543409374295,111,91,311
435,494.0,1.0,1.0,635.0,424.0,0.03,4.0,600.0,3.7957090419113744,111,52,311
128,110.0,1.0,1.0,127.0,424.0,0.03,4.0,600.0,4.717792093648657,111,129,311
261,298.0,1.0,1.0,317.0,424.0,0.03,3.0,600.0,3.940221136137681,107,70,316
131,106.0,1.0,1.0,127.0,424.0,0.03,3.0,600.0,4.722439093508747,107,132,316
597,682.0,1.0,1.0,953.0,424.0,0.03,3.0,600.0,3.731377618901676,107,22,316
795,874.0,1.0,1.0,1258.0,424.0,0.03,3.0,600.0,3.718439547240472,107,28,316
447,490.0,1.0,1.0,635.0,424.0,0.03,3.0,600.0,3.8011694068366575,107,64,316
43,35.0,1.0,1.0,127.0,424.0,0.005,3.0,800.0,4.387066503934086,36,44,320
774,871.0,1.0,1.0,1258.0,424.0,0.03,2.0,800.0,3.698846749267476,104,7,320
438,419.0,1.0,1.0,635.0,424.0,0.005,3.0,800.0,3.797048993262459,36,55,320
256,295.0,1.0,1.0,317.0,424.0,0.03,2.0,800.0,3.9327240009048583,104,65,320
450,487.0,1.0,1.0,635.0,424.0,0.03,2.0,800.0,3.8022904196897582,104,67,320
134,103.0,1.0,1.0,127.0,424.0,0.03,2.0,800.0,4.742988043773134,104,135,320
664,611.0,1.0,1.0,953.0,424.0,0.005,3.0,800.0,3.778531787568833,36,89,320
221,227.0,1.0,1.0,317.0,424.0,0.005,3.0,800.0,3.9109599519634606,36,30,320
621,679.0,1.0,1.0,953.0,424.0,0.03,2.0,800.0,3.739426018623255,104,46,320
869,803.0,1.0,1.0,1258.0,424.0,0.005,3.0,800.0,3.7876602688831302,36,102,320
868,849.0,1.0,1.0,1258.0,424.0,0.01,3.0,400.0,3.784490849968355,82,101,321
441,465.0,1.0,1.0,635.0,424.0,0.01,3.0,400.0,3.7979848716660896,82,58,321
44,81.0,1.0,1.0,127.0,424.0,0.01,3.0,400.0,4.387112285604467,82,45,321
220,273.0,1.0,1.0,317.0,424.0,0.01,3.0,400.0,3.9103831608365622,82,29,321
663,657.0,1.0,1.0,953.0,424.0,0.01,3.0,400.0,3.777090074556849,82,88,321
277,341.0,1.0,1.0,317.0,424.0,0.07,2.0,400.0,3.949998703356196,150,86,325
651,658.0,1.0,1.0,953.0,424.0,0.01,3.0,600.0,3.762066251527237,83,76,325
439,466.0,1.0,1.0,635.0,424.0,0.01,3.0,600.0,3.797307263261799,83,56,325
434,533.0,1.0,1.0,635.0,424.0,0.07,2.0,400.0,3.79501400070993,150,51,325
852,850.0,1.0,1.0,1258.0,424.0,0.01,3.0,600.0,3.758115398139679,83,85,325
83,82.0,1.0,1.0,127.0,424.0,0.01,3.0,600.0,4.433778143845828,83,84,325
771,917.0,1.0,1.0,1258.0,424.0,0.07,2.0,400.0,3.692940249272844,150,4,325
613,725.0,1.0,1.0,953.0,424.0,0.07,2.0,400.0,3.736552243490959,150,38,325
145,149.0,1.0,1.0,127.0,424.0,0.07,2.0,400.0,4.78903064800839,150,146,325
215,274.0,1.0,1.0,317.0,424.0,0.01,3.0,600.0,3.908190012256771,83,24,325
607,728.0,1.0,1.0,953.0,424.0,0.07,3.0,200.0,3.735210036036896,153,32,326
270,344.0,1.0,1.0,317.0,424.0,0.07,3.0,200.0,3.9448133225124704,153,79,326
442,536.0,1.0,1.0,635.0,424.0,0.07,3.0,200.0,3.798434565979965,153,59,326
122,152.0,1.0,1.0,127.0,424.0,0.07,3.0,200.0,4.645482092712215,153,123,326
800,920.0,1.0,1.0,1258.0,424.0,0.07,3.0,200.0,3.722884468580143,153,33,326
596,740.0,1.0,1.0,953.0,424.0,0.07,6.0,200.0,3.730894677093211,165,21,328
810,932.0,1.0,1.0,1258.0,424.0,0.07,6.0,200.0,3.73101450200732,165,43,328
430,548.0,1.0,1.0,635.0,424.0,0.07,6.0,200.0,3.7894708793945022,165,47,328
286,356.0,1.0,1.0,317.0,424.0,0.07,6.0,200.0,3.961540493683037,165,95,328
121,164.0,1.0,1.0,127.0,424.0,0.07,6.0,200.0,4.644615622485585,165,122,328
146,126.0,1.0,1.0,127.0,424.0,0.05,2.0,600.0,4.822479322476196,127,147,329
625,702.0,1.0,1.0,953.0,424.0,0.05,2.0,600.0,3.7418204054580886,127,50,329
284,318.0,1.0,1.0,317.0,424.0,0.05,2.0,600.0,3.959915211410363,127,93,329
777,894.0,1.0,1.0,1258.0,424.0,0.05,2.0,600.0,3.7040939569751816,127,10,329
412,510.0,1.0,1.0,635.0,424.0,0.05,2.0,600.0,3.776109650330878,127,29,329
