,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
1303,307,307.0,1.0,1.0,356.0,475.0,0.07,4.0,3.0,600.0,0.993,1.0,82.4397948026418,788,504,2112
2700,627,627.0,1.0,1.0,1068.0,475.0,0.07,4.0,3.0,600.0,0.993,1.0,74.7425192015646,788,301,2112
2001,467,467.0,1.0,1.0,712.0,475.0,0.07,4.0,3.0,600.0,0.993,1.0,77.78590091175745,788,402,2112
475,34,34.0,1.0,1.0,142.0,475.0,0.01,1.0,4.0,400.0,0.997,1.0,89.6862920059256,355,476,2121
1008,194,194.0,1.0,1.0,356.0,475.0,0.01,1.0,4.0,400.0,0.997,1.0,79.04130112129795,355,209,2121
2895,514,514.0,1.0,1.0,1068.0,475.0,0.01,1.0,4.0,400.0,0.997,1.0,76.93365908240293,355,496,2121
3703,674,674.0,1.0,1.0,1410.0,475.0,0.01,1.0,4.0,400.0,0.997,1.0,76.72283620930159,355,504,2121
2035,354,354.0,1.0,1.0,712.0,475.0,0.01,1.0,4.0,400.0,0.997,1.0,78.05193000198712,355,436,2121
370,58,58.0,1.0,1.0,142.0,475.0,0.007,2.0,2.0,600.0,0.995,1.0,88.17849820095395,219,371,2126
3719,698,698.0,1.0,1.0,1410.0,475.0,0.007,2.0,2.0,600.0,0.995,1.0,77.18943015488624,219,520,2126
2913,538,538.0,1.0,1.0,1068.0,475.0,0.007,2.0,2.0,600.0,0.995,1.0,77.34003887506576,219,514,2126
1092,218,218.0,1.0,1.0,356.0,475.0,0.007,2.0,2.0,600.0,0.995,1.0,79.96850533913792,219,293,2126
2027,378,378.0,1.0,1.0,712.0,475.0,0.007,2.0,2.0,600.0,0.995,1.0,78.00092630191376,219,428,2126
2846,577,577.0,1.0,1.0,1068.0,475.0,0.07,3.0,2.0,600.0,0.993,1.0,75.87119791351364,738,447,2130
3573,737,737.0,1.0,1.0,1410.0,475.0,0.07,3.0,2.0,600.0,0.993,1.0,74.01658733097359,738,374,2130
452,97,97.0,1.0,1.0,142.0,475.0,0.07,3.0,2.0,600.0,0.993,1.0,89.38476956164702,738,453,2130
1309,257,257.0,1.0,1.0,356.0,475.0,0.07,3.0,2.0,600.0,0.993,1.0,82.54509561870344,738,510,2130
1945,417,417.0,1.0,1.0,712.0,475.0,0.07,3.0,2.0,600.0,0.993,1.0,77.25621622796282,738,346,2130
2835,562,562.0,1.0,1.0,1068.0,475.0,0.01,3.0,1.0,400.0,0.993,1.0,75.71866229059223,403,436,2137
408,82,82.0,1.0,1.0,142.0,475.0,0.01,3.0,1.0,400.0,0.993,1.0,88.71356780030936,403,409,2137
2053,402,402.0,1.0,1.0,712.0,475.0,0.01,3.0,1.0,400.0,0.993,1.0,78.19227418078387,403,454,2137
1197,242,242.0,1.0,1.0,356.0,475.0,0.01,3.0,1.0,400.0,0.993,1.0,81.05152303286891,403,398,2137
3639,722,722.0,1.0,1.0,1410.0,475.0,0.01,3.0,1.0,400.0,0.993,1.0,75.09930974190189,403,440,2137
