,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
2465,533,533.0,1.0,1.0,953.0,424.0,0.07,2.0,2.0,400.0,0.995,1.0,1.2251453270897037,694,66,446
3281,693,693.0,1.0,1.0,1258.0,424.0,0.07,2.0,2.0,400.0,0.995,1.0,1.211209534171909,694,82,446
1748,373,373.0,1.0,1.0,635.0,424.0,0.07,2.0,2.0,400.0,0.995,1.0,1.2904882857705977,694,149,446
116,94,94.0,1.0,1.0,127.0,424.0,0.03,3.0,2.0,400.0,0.997,1.0,1.4593401468930245,575,117,450
1638,414,414.0,1.0,1.0,635.0,424.0,0.03,3.0,2.0,400.0,0.997,1.0,1.2716542438690934,575,39,450
3364,734,734.0,1.0,1.0,1258.0,424.0,0.03,3.0,2.0,400.0,0.997,1.0,1.2186417077545948,575,165,450
834,254,254.0,1.0,1.0,317.0,424.0,0.03,3.0,2.0,400.0,0.997,1.0,1.3044965583372576,575,35,450
2493,574,574.0,1.0,1.0,953.0,424.0,0.03,3.0,2.0,400.0,0.997,1.0,1.228720595741469,575,94,450
2507,623,623.0,1.0,1.0,953.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,1.2297685615968523,624,108,457
132,143,143.0,1.0,1.0,127.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,1.4646070650116425,624,133,457
905,303,303.0,1.0,1.0,317.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,1.3307760825263468,624,106,457
3254,783,783.0,1.0,1.0,1258.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,1.2081372858508024,624,55,457
1654,463,463.0,1.0,1.0,635.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,1.2739141061880932,624,55,457
3320,787,787.0,1.0,1.0,1258.0,424.0,0.01,4.0,3.0,600.0,0.993,1.0,1.2149886184293242,468,121,458
1603,467,467.0,1.0,1.0,635.0,424.0,0.01,4.0,3.0,600.0,0.993,1.0,1.2628662772248451,468,4,458
2579,627,627.0,1.0,1.0,953.0,424.0,0.01,4.0,3.0,600.0,0.993,1.0,1.2394864159443455,468,180,458
860,307,307.0,1.0,1.0,317.0,424.0,0.01,4.0,3.0,600.0,0.993,1.0,1.320680973491993,468,61,458
91,147,147.0,1.0,1.0,127.0,424.0,0.01,4.0,3.0,600.0,0.993,1.0,1.4495190391614263,468,92,458
53,113,113.0,1.0,1.0,127.0,424.0,0.03,3.0,4.0,400.0,0.995,1.0,1.4333781003570114,594,54,465
3258,753,753.0,1.0,1.0,1258.0,424.0,0.03,3.0,4.0,400.0,0.995,1.0,1.208431698749439,594,59,465
1809,433,433.0,1.0,1.0,635.0,424.0,0.03,3.0,4.0,400.0,0.995,1.0,1.3036208188331988,594,210,465
901,273,273.0,1.0,1.0,317.0,424.0,0.03,3.0,4.0,400.0,0.995,1.0,1.3300324745017136,594,102,465
2439,593,593.0,1.0,1.0,953.0,424.0,0.03,3.0,4.0,400.0,0.995,1.0,1.22075682499773,594,40,465
86,112,112.0,1.0,1.0,127.0,424.0,0.03,3.0,4.0,400.0,0.993,1.0,1.4483495713373895,593,87,466
2446,592,592.0,1.0,1.0,953.0,424.0,0.03,3.0,4.0,400.0,0.993,1.0,1.221836642179175,593,47,466
1778,432,432.0,1.0,1.0,635.0,424.0,0.03,3.0,4.0,400.0,0.993,1.0,1.2971726791912148,593,179,466
3231,752,752.0,1.0,1.0,1258.0,424.0,0.03,3.0,4.0,400.0,0.993,1.0,1.2049912547698118,593,32,466
920,272,272.0,1.0,1.0,317.0,424.0,0.03,3.0,4.0,400.0,0.993,1.0,1.334871526876818,593,121,466
1709,438,438.0,1.0,1.0,635.0,424.0,0.01,3.0,4.0,600.0,0.995,1.0,1.2841650773567432,439,110,468
865,278,278.0,1.0,1.0,317.0,424.0,0.01,3.0,4.0,600.0,0.995,1.0,1.3220635190585597,439,66,468
3372,758,758.0,1.0,1.0,1258.0,424.0,0.01,3.0,4.0,600.0,0.995,1.0,1.21965724320649,439,173,468
50,118,118.0,1.0,1.0,127.0,424.0,0.01,3.0,4.0,600.0,0.995,1.0,1.4331602656905404,439,51,468
2467,598,598.0,1.0,1.0,953.0,424.0,0.01,3.0,4.0,600.0,0.995,1.0,1.2252804571303006,439,68,468
3251,733,733.0,1.0,1.0,1258.0,424.0,0.03,3.0,2.0,400.0,0.995,1.0,1.2080044138513406,574,52,470
2442,573,573.0,1.0,1.0,953.0,424.0,0.03,3.0,2.0,400.0,0.995,1.0,1.2215121446784212,574,43,470
251,93,93.0,1.0,1.0,127.0,424.0,0.03,3.0,2.0,400.0,0.995,1.0,1.516887812561434,574,252,470
871,253,253.0,1.0,1.0,317.0,424.0,0.03,3.0,2.0,400.0,0.995,1.0,1.32301176454391,574,72,470
1650,413,413.0,1.0,1.0,635.0,424.0,0.03,3.0,2.0,400.0,0.995,1.0,1.2732983983098942,574,51,470
2444,613,613.0,1.0,1.0,953.0,424.0,0.03,4.0,2.0,400.0,0.995,1.0,1.2217992035498462,614,45,474
1614,453,453.0,1.0,1.0,635.0,424.0,0.03,4.0,2.0,400.0,0.995,1.0,1.2659615968829672,614,15,474
931,293,293.0,1.0,1.0,317.0,424.0,0.03,4.0,2.0,400.0,0.995,1.0,1.3371344381210886,614,132,474
3206,773,773.0,1.0,1.0,1258.0,424.0,0.03,4.0,2.0,400.0,0.995,1.0,1.2008633030862634,614,7,474
