,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
815,834.0,1.0,1.0,1258.0,424.0,0.007,5.0,600.0,30.3826309345526,67,48,192
443,450.0,1.0,1.0,635.0,424.0,0.007,5.0,600.0,32.09617513850997,67,60,192
224,258.0,1.0,1.0,317.0,424.0,0.007,5.0,600.0,33.93491162553979,67,33,192
614,642.0,1.0,1.0,953.0,424.0,0.007,5.0,600.0,30.384550580865245,67,39,192
625,673.0,1.0,1.0,953.0,424.0,0.03,1.0,400.0,30.468645477568334,98,50,194
618,697.0,1.0,1.0,953.0,424.0,0.05,1.0,400.0,30.41202712877021,122,43,194
204,313.0,1.0,1.0,317.0,424.0,0.05,1.0,400.0,33.776939630639724,122,13,194
84,97.0,1.0,1.0,127.0,424.0,0.03,1.0,400.0,41.6424116404676,98,85,194
802,889.0,1.0,1.0,1258.0,424.0,0.05,1.0,400.0,30.240908474452883,122,35,194
82,121.0,1.0,1.0,127.0,424.0,0.05,1.0,400.0,41.58865680661624,122,83,194
814,865.0,1.0,1.0,1258.0,424.0,0.03,1.0,400.0,30.37521827602279,98,47,194
201,289.0,1.0,1.0,317.0,424.0,0.03,1.0,400.0,33.616194857515,98,10,194
385,481.0,1.0,1.0,635.0,424.0,0.03,1.0,400.0,31.17121979078203,98,2,194
403,505.0,1.0,1.0,635.0,424.0,0.05,1.0,400.0,31.41613087795555,122,20,194
774,855.0,1.0,1.0,1258.0,424.0,0.01,4.0,800.0,30.003300621935143,88,7,197
265,279.0,1.0,1.0,317.0,424.0,0.01,4.0,800.0,34.761039196589856,88,74,197
576,663.0,1.0,1.0,953.0,424.0,0.01,4.0,800.0,29.840786789759782,88,1,197
449,471.0,1.0,1.0,635.0,424.0,0.01,4.0,800.0,32.18687649349994,88,66,197
48,87.0,1.0,1.0,127.0,424.0,0.01,4.0,800.0,40.99846069785041,88,49,197
439,500.0,1.0,1.0,635.0,424.0,0.03,6.0,200.0,32.06191677034379,117,56,201
229,360.0,1.0,1.0,317.0,424.0,0.1,1.0,200.0,33.97208233417761,169,38,201
26,116.0,1.0,1.0,127.0,424.0,0.03,6.0,200.0,40.496085075487535,117,27,201
390,552.0,1.0,1.0,635.0,424.0,0.1,1.0,200.0,31.298815272483385,169,7,201
260,308.0,1.0,1.0,317.0,424.0,0.03,6.0,200.0,34.55424513187633,117,69,201
785,884.0,1.0,1.0,1258.0,424.0,0.03,6.0,200.0,30.14010590948536,117,18,201
73,168.0,1.0,1.0,127.0,424.0,0.1,1.0,200.0,41.43287844567028,169,74,201
611,744.0,1.0,1.0,953.0,424.0,0.1,1.0,200.0,30.36347664839817,169,36,201
606,692.0,1.0,1.0,953.0,424.0,0.03,6.0,200.0,30.330496096811068,117,31,201
813,936.0,1.0,1.0,1258.0,424.0,0.1,1.0,200.0,30.36010467585353,169,46,201
603,677.0,1.0,1.0,953.0,424.0,0.03,2.0,400.0,30.308520745387955,102,28,203
796,869.0,1.0,1.0,1258.0,424.0,0.03,2.0,400.0,30.20838781911037,102,29,203
98,101.0,1.0,1.0,127.0,424.0,0.03,2.0,400.0,41.96475206906128,102,99,203
407,485.0,1.0,1.0,635.0,424.0,0.03,2.0,400.0,31.49921789441574,102,24,203
214,293.0,1.0,1.0,317.0,424.0,0.03,2.0,400.0,33.89523518009379,102,23,203
42,54.0,1.0,1.0,127.0,424.0,0.007,2.0,600.0,40.700573882613135,55,43,206
389,438.0,1.0,1.0,635.0,424.0,0.007,2.0,600.0,31.29439867528733,55,6,206
194,246.0,1.0,1.0,317.0,424.0,0.007,2.0,600.0,33.45991318593261,55,3,206
656,630.0,1.0,1.0,953.0,424.0,0.007,2.0,600.0,30.764545787090263,55,81,206
840,822.0,1.0,1.0,1258.0,424.0,0.007,2.0,600.0,30.634234741008505,55,73,206
10,70.0,1.0,1.0,127.0,424.0,0.007,6.0,600.0,40.1997446130109,71,11,208
824,838.0,1.0,1.0,1258.0,424.0,0.007,6.0,600.0,30.44255196559561,71,57,208
624,646.0,1.0,1.0,953.0,424.0,0.007,6.0,600.0,30.46298681110449,71,49,208
437,454.0,1.0,1.0,635.0,424.0,0.007,6.0,600.0,32.04937890899987,71,54,208
228,262.0,1.0,1.0,317.0,424.0,0.007,6.0,600.0,33.96526213828441,71,37,208
789,890.0,1.0,1.0,1258.0,424.0,0.05,1.0,600.0,30.178382093146908,123,22,209
83,122.0,1.0,1.0,127.0,424.0,0.05,1.0,600.0,41.63542164077241,123,84,209
