,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse
53,3.0,3.0,53.0,317.0,424.0,0.03,2.0,200.0,1.376089925817218
54,4.0,4.0,54.0,317.0,424.0,0.03,2.0,200.0,1.2978872695465795
55,5.0,5.0,55.0,317.0,424.0,0.03,2.0,200.0,1.2901399940755773
56,6.0,6.0,56.0,317.0,424.0,0.03,2.0,200.0,1.3882795020954608
57,7.0,7.0,57.0,317.0,424.0,0.03,2.0,200.0,1.4289110398177711
58,8.0,8.0,58.0,317.0,424.0,0.03,2.0,200.0,1.330884466753558
59,9.0,9.0,59.0,317.0,424.0,0.03,2.0,200.0,1.3664331226540216
60,10.0,10.0,60.0,317.0,424.0,0.03,2.0,200.0,1.3639344444553871
61,11.0,11.0,61.0,317.0,424.0,0.03,2.0,200.0,1.37955309104646
62,12.0,12.0,62.0,317.0,424.0,0.03,2.0,200.0,1.3655271368281907
63,13.0,13.0,63.0,317.0,424.0,0.03,2.0,200.0,1.396872421803084
64,14.0,14.0,64.0,317.0,424.0,0.03,2.0,200.0,1.3757427103850257
65,15.0,15.0,65.0,317.0,424.0,0.03,2.0,200.0,1.4038105877824263
66,16.0,16.0,66.0,317.0,424.0,0.03,2.0,200.0,1.332776709737443
67,17.0,17.0,67.0,317.0,424.0,0.03,2.0,200.0,1.4635584975260298
68,18.0,18.0,68.0,317.0,424.0,0.03,2.0,200.0,1.385441987941686
69,19.0,19.0,69.0,317.0,424.0,0.03,2.0,200.0,1.3437800510329867
70,20.0,20.0,70.0,317.0,424.0,0.03,2.0,200.0,1.387482694905544
71,21.0,21.0,71.0,317.0,424.0,0.03,2.0,200.0,1.365653341177556
72,22.0,22.0,72.0,317.0,424.0,0.03,2.0,200.0,1.4446109159219354
73,23.0,23.0,73.0,317.0,424.0,0.03,2.0,200.0,1.3637970622856066
74,24.0,24.0,74.0,317.0,424.0,0.03,2.0,200.0,1.3526720976514852
75,25.0,25.0,75.0,317.0,424.0,0.03,2.0,200.0,1.2658555329291716
76,26.0,26.0,76.0,317.0,424.0,0.03,2.0,200.0,1.3992919773482864
77,27.0,27.0,77.0,317.0,424.0,0.03,2.0,200.0,1.405898486119287
78,28.0,28.0,78.0,317.0,424.0,0.03,2.0,200.0,1.3678985133510466
79,29.0,29.0,79.0,317.0,424.0,0.03,2.0,200.0,1.3509460374327456
80,30.0,30.0,80.0,317.0,424.0,0.03,2.0,200.0,1.2813549063195686
81,31.0,31.0,81.0,317.0,424.0,0.03,2.0,200.0,1.4383596737611626
82,32.0,32.0,82.0,317.0,424.0,0.03,2.0,200.0,1.3546296197295686
83,33.0,33.0,83.0,317.0,424.0,0.03,2.0,200.0,1.3324571696394665
84,34.0,34.0,84.0,317.0,424.0,0.03,2.0,200.0,1.3892836164240547
85,35.0,35.0,85.0,317.0,424.0,0.03,2.0,200.0,1.354909337228561
86,36.0,36.0,86.0,317.0,424.0,0.03,2.0,200.0,1.3860462432339957
87,37.0,37.0,87.0,317.0,424.0,0.03,2.0,200.0,1.303448365848486
88,38.0,38.0,88.0,317.0,424.0,0.03,2.0,200.0,1.2389115221274276
89,39.0,39.0,89.0,317.0,424.0,0.03,2.0,200.0,1.3084222219538333
90,40.0,40.0,90.0,317.0,424.0,0.03,2.0,200.0,1.3463937756408486
91,41.0,41.0,91.0,317.0,424.0,0.03,2.0,200.0,1.3484393241160484
92,42.0,42.0,92.0,317.0,424.0,0.03,2.0,200.0,1.3819533519154774
93,43.0,43.0,93.0,317.0,424.0,0.03,2.0,200.0,1.2647623418410254
